XTEkYdlM,_1tSRIohB 2,_2EO0yd2j,
Renu Namalika,"on Mar 12, 2025",perfect 👌,
asanthi fernando,"on Mar 10, 2025",perfect 👌,
71***29,"on Feb 6, 2025",Good Product,
Ruwan Bandara,"on Jan 30, 2025",excellent thanks,
77***26,"on Jan 27, 2025",excellent thanks,
Su***va,"on Jan 23, 2025",quality item,
Vijay_Param,"on Jan 10, 2025",Birth product,
71***20,"on Apr 15, 2025",Worth the price.,
W T COMPANY,"on Feb 21, 2025",good bright light,
Nalaka Sampat,"on Feb 10, 2025","good, quick delivery",
77***16,"on Jun 7, 2025",Good product,
thimesh chanuka,"on Apr 21, 2025",good product,
75***54,"on Feb 25, 2025",super product,
74***12,"on Aug 21, 2025",good,
77***61,"on Apr 30, 2025",good,
Carmel Dilooshany,"on Apr 26, 2025",fantastic,
sh***58,"on Apr 18, 2025",good,
Nadeesh Mani Anand,"on Mar 25, 2025",AWESOME,
77***15,"on Mar 20, 2025",normal,
manuja ayodya,"on Mar 18, 2025",Good,
Gaetano Ferraro,"on Jan 29, 2025","Excellent flashlight, lightweight and powerful with 2 light intensities. The lower one is still sufficient for common uses.",
Srta_Ale,"on May 9, 2025","Fascinated with the flashlight.
It has 3 lighting modes.
Very good intensity.
It's lightweight, ultra-portable.
Easy and fast charging.
Shows how much charge is left in the flashlight.
HIGHLY RECOMMENDED 💯 * 💯",
ke***ie,"on Jan 24, 2025","CAUTION FOR VIDEO VIEWERS WITH EPILEPSY. PHOTOSENSITIVE IMAGES!!!
Awesome light!
Flashlight about the size of an adult hand. It illuminates very well in a dark hallway. Ideal for emergencies outside the home, in a garage, or in a poorly lit area.
Zoom mode to focus on a specific point.
No need for a battery as it's rechargeable with an included cable.
Very light and easy to slip into a pocket or bag.
Satisfied with my purchase. Time will tell now...",
ZUKO,"on Apr 14, 2025",It has good lighting and the battery lasts well. I personally received it undamaged.,
Wiky,"on Mar 26, 2025","It provides a lot of light and was fully charged in less than 2 hours on its first charge. I haven't seen how long the battery will last yet, but the quality and price are very good.",
va tandaş,"on Apr 26, 2025","It has a nice 3-level light, and it's quite useful. The price is already known to be reasonable for us, so we recommend it.",
54***07,"on Oct 10, 2024","I don't know what your expectation is, but it works
Arrived on time
thanks",
fa***ko,"on Mar 28, 2025","It beats really well and the battery lasts a long time, so it's worth buying.",
Игорь,"on Jun 27, 2025","Good flashlight. It arrived charged. I recommend the seller. Thank you, Temu.",
co***ir,"on Nov 7, 2024",Simple and practical ! !️,
ზაზა ნიკოლეიშვილი,"on May 7, 2025","It's very good, thank you.",
so***an,"on Feb 15, 2025",Super,
a*,"on Jan 30, 2025","The flashlight arrived as described, and its cylindrical design feels comfortable to hold. The build quality seems decent, though I haven't yet tested its durability in rugged conditions.
It I appreciate the rechargeable feature and the convenience of USB charging. The three modes, including the high/low frequency flashing, offer good versatility for different situations. The light output is certainly bright, as advertised, which should be useful for outdoor activities or when needing a strong beam.",
jevgeni masalkin,"on May 20, 2025","The flashlight is good for its price. The body is plastic, but it shines brightly and has a good zoom function. The flashing mode also works interestingly. I'm satisfied.",
dj***ty,"on Jan 30, 2025","Absolutely amazing value torch for less than £2 GBP.
I fully charged it and left it turned on, on full power and it lasted 2 hours before the red light came on, the light was still bright enough so I left it for another hour and it kept getting dimmer. So I would say it is usable for 2 hours and then still ok for another hour but it was getting quite dim. I then put it on charge and it took 75 minutes to fully charge up.",
iz**as,"on Jan 18, 2025",Small but excellent. Works just as described,
Milan Cvetković,"on Oct 16, 2024","I don't know how long the battery will last, but it's great. It is better seen live than on video. Recommendation",
Ma***tt,"on Mar 12, 2025","handy pointer, ideal, awesome little light, very pleased with it, value for money, quick delivery, perfect 👌, lovely. The quality is good. Handy little light.",
Mətləb Yusibov,"on Jan 9, 2026",Thank you so much! My order arrived and I absolutely love it. I highly recommend this product to everyone. I want to thank the temu company again and give them a big thumbs up! 👏🏻🫶🏻👍🏻❤️🥰😘😊💥🎊🎉,
ol***n2,"on May 15, 2025",for the amount of money you pay for it. works perfectly with your phone while you are driving. Safe travels and enjoy your trip with one push of a button you can concentrate on the road. Very important. Thanks again Temu. Great product.,
te***ej,"on Jan 19, 2025","Trust me you need to buy one, it goes over 40 metres and still able to see clearly, partner and little one loves it ( careful you will be blinded if pointed at you ) the strobe effect is very fast so please be aware if someone is epileptic. Very light and bright. Very good quality torch. Highly recommend",
Joanna Biały,"on Oct 21, 2024",flashlight super!charged via USB. two light ranges. I am satisfied. Thank you,
Покупатель,"on Feb 2, 2025",The product matches the description.,
Marta Ravaioli,"on Dec 13, 2024",Excellent!! Comes with its own small charger! Very bright light!,
Manqoba Ndlovu,"on Jan 12, 2026","Arrive exactly the day was speculated no fakes delived as the same products I ordered.
Thank you Temu",
Βα***ης,"on Mar 22, 2025",Very good lens!!! I'm very happy with it!!! Fast delivery...,
65***94,"on Apr 18, 2025",It works wonderfully. I recommend this flashlight.,
Aco Ivanka Soposki,"on Nov 26, 2024",Very good product and Very fast deliverey. Thank you,
Yavuz KURCAN,"on Feb 28, 2025","The product is very good for its price. I bought it to use while working on my car in the parking lot at night. It has plenty of light, but I haven't been able to test how long the charge lasts.",
al da,"on Jan 10, 2025",Good lamp with charging cable,
sv***ki,"on Jan 11, 2025",Perfect,
philippe pierre,"on Sep 8, 2024","hello, without battery, this recharge via USB I am amazed at the power it is perfect !!!! Strobe mode as well.",
Si***an,"on Mar 27, 2025","It's very light and small, making it easy to carry, and it provides excellent illumination considering its size. The fact that it's rechargeable is also a great feature. It arrived in a very short time. I highly recommend it to everyone.",
ابو ياسين محمد احمد,"on Nov 25, 2025",,
34***86,"on Feb 4, 2025",,
Francisco Pastrana Gomez,"on Oct 20, 2024","The flashlight works perfectly and shines quite a bit. It has three functions, intense light, medium light, and flashing light for signaling. I recommend it. PS: The photos are taken next to a glasses case so you can see the size of the flashlight. It is lightweight and fits anywhere.",
İsmail ersin Özdemir,"on Mar 5, 2025","It seems to serve its purpose, and I hope it's durable. The initial impression is that it will do the job.",
Bern Korten,"on May 9, 2025","This is a great torch, easy to charge with charging wire included. very bright and good size for carrying about. pleased with purchase and best of all good price",
marcelo brito,"on Sep 20, 2024","It seems to illuminate closed places well, I'm going to test it outdoors, I haven't tested autonomy, but the on and off button has a light that shows how the charge is. Loved.",
th***91,"on Nov 8, 2024","Flashlight that does its job, for the price it is very good. I use it to fix the car and motorcycles.",
Dominika K,"on Apr 17, 2025","The video I recorded is not perfect, but the flashlight is quite strong in my opinion, and I give it 5 stars.",
Alamettin Budak,"on Oct 14, 2024","The product is the same as the image. The quality of lighting is high, I will explain the charging time later. But it's a product worth the money. Thanks",
To‘g‘risini aytsam,"on Jan 4, 2025",That's a good thing,
bo***94,"on Nov 10, 2025","Easy to use, powerful enough for the garden at night, portable, fast charge...In few words: Everything that you expect from flashlight plus ( in case you have some military experience ) very useful using codes with it's three operation modes. 100% Trustworthy.",
On***ci,"on Feb 21, 2025",The product is sturdy and provides good illumination.,
Olabode Olatunbosun,"on Dec 12, 2024","Very portable and handy, it also pocket friendly, ideal, value for money, am very pleased with it, exactly as described",
Monika Monika,"on Apr 2, 2025",Everything is as described. The flashlight is small but works well. I recommend it.,
Da***ze,"on Nov 13, 2024","excellent thanks, value for money, exactly as described",
Игорь Кулинский,"on Nov 24, 2024","I am glad that I bought such a flashlight, it shines well, it holds a charge for a long time, it is light in small size, pleasant to the touch.",
R.**K.,"on Sep 23, 2024","Super flashlight 🔦! Very compact and extremely bright, I would not have thought! The beam of light bundles into a perfect circle!",
Алёнка Бистрика,"on Nov 15, 2024","Excellent phanar, charged on occasion, plastic, 3 functions -yaruiy, not bright and sos",
niny guacci,"on Jun 23, 2025",Really useful and effective flashlight! Good quality product with an optimal price-to-performance ratio!,
jgeraldomendes,"on Jul 9, 2025","Very good. I'm going to order another one. It's light, small, and illuminates very well. I gave it the first charge, and it's lasting quite a long time.",
wa***10,"on Oct 28, 2024","Nickel, the flashlight is as described, it's functional, I love it.
I recommend it without worries.",
Oscar Alvarez,"on Jun 9, 2025","Works perfectly, plastic, seems good quality.",
Dastan Nurzhanuly,"on Jan 30, 2026",It's okay❤️,
tc***19,"on Nov 27, 2024","excellent thanks, value for money, great product",
ro***78,"on Jan 18, 2026",Excellent product... I was surprised by how bright the light is!,
Tesfalem,"on Nov 19, 2024","awesome little light, very pleased with it, exactly as described, great product, perfect, top, handy pointer, ideal, excellent thanks, value for money, good quality, awesome little light, very pleased with it, very pleased with it",
yo***el,"on Oct 27, 2024",Matches the description. Light Lamp,
53***92,"on Mar 5, 2025",The product comes with a charging cable as shown in the photo. It has 3 different lighting modes that are actively working. The lighting is noticeable even during the day indoors. It's very good for its price.,
Jean Mi,"on Nov 18, 2024",Very well solid,
E**a,"on Mar 24, 2025","Excellent little light, very powerful, love the 3 modes: strong light, lower and emergency light. Honestly this is a fab buy, little so you can easily carry, efficient and super useful . I recommend this item",
Da***li,"on Jan 17, 2025","Excellent product, great light with three modes and USB charging so it can be charged directly in the car.",
Sello Sindane Matsemela,"on Sep 26, 2024",Very user-friendly and beautiful. Its very bright when fully charged. I love it for hiking and walks at night. Very pleased with it,
MA***IE,"on Oct 5, 2024",Works well and no hassle with batteries you get a USB cable with it to charge and it has 3 modes 1.sharp light 2.dim light 3.flashing light,
ba***si,"on Oct 2, 2024",very pleased with it... The light is strong. The build quality could have been better. But for the price! I can't complain.,
sa***99,"on Jan 28, 2025",I just love this torch it’s not big which is great but the power of light from it well it’s great and also can be dimmed etc highly recommend,
pa***ab,"on Nov 18, 2024","thus is really cool. I got this for late dark night when I take my black greyhound for a walk. I can't see him when he wanders over the field, it's so dark. Problem now solved, this torch is really powerful. I can see for hundreds of feet. great stuff",
Vladimir Miron,"on Nov 29, 2024","For this price, it’s the best light forevere",
ad***cz,"on Mar 17, 2025",excellent thanks,
al***fo,"on Feb 15, 2025","Everything is perfect. It's small; I expected it to be a bit larger, but it's very practical for a pocket. Delivered on time. Thank you!!",
lo***66,"on Nov 24, 2024","great and it is great when I take the dog out for her night walk and it has a very good beam , exactly as described, great product, value for money",
Angelique Vynckier,"on Mar 29, 2025","Nice lightweight flashlight. Easy to use, with three settings.",
Dario Kovačić,"on Nov 20, 2024",,
ro***op,"on Nov 28, 2024","I have purchased torches before.
This is really nice torch with simple focusing of light by turning torch housing on lens end to spread or spot beam of bright light.
Being USB rechargeable takes away the need to replace batteries.
Nice little feature on the on off button when charging.
Button is backed by Red light when charging which goes Green when suitably charged this is easily seen.
A good useful torch with bright light, easy to use, and charge with supplied USB cable.",
ma***ja,"on Aug 13, 2025",I love this item. Great and easily portable and user friendly,
Samantha Colclough,"on Nov 9, 2024","great product, value for money Used it tonight on the dog walk it does the job I could see my dog at the other side of the field I recommend",
karen powell,"on Mar 24, 2025","awesome little light, very pleased with it, exactly as described, quick delivery, perfect 👌, fantastic, fantastic, lovely, normal, handy pointer, ideal, handy pointer, ideal, awesome little light",
Grzegorz Skowron,"on Jan 18, 2025","The flashlight is lightweight and provides good illumination. I haven't tested its durability in harsh conditions or battery life yet, but it looks good and I hope it will serve well.",
Anton Turcan,"on Feb 15, 2025",,
74***58,"on Dec 26, 2024","Lovely design, super, beautiful and Thank you so much with all.",
bo***70,"on Oct 10, 2024","Fits the description, I'm satisfied.",
68***96,"on Feb 7, 2025",,
Nikoloz Gachechiladze,"on Mar 25, 2025","Believe me, it's a very useful item, it lights up really well. 10/10",
William Mahlangu,"on Aug 5, 2025","The product is ok, I love it",
Aydın Eroktay,"on Dec 27, 2024","It illuminates the dark room very well, and it's nice that it's rechargeable. It also fits in a bag, and we liked it a lot.",
Ali Doylu,"on Dec 10, 2024","The product is sturdy, fits in a small pocket, is rechargeable, and can be used to make the light bigger or smaller with the help of a lens. It has 3 levels: a lot of light, a little light, and a soft light.",
Muhammet Dağlı,"on Jun 21, 2025","Nice product, I like it. It serves my purpose.",
Nadia Rosbif,"on Jan 15, 2025","It works great, a very good gift.",
67***08,"on Oct 26, 2024","It shines perfectly, the :) has already come charged",
pa***re,"on Feb 6, 2025",Item matches the description. Very bright light and recharges via USB.,
al***er,"on Sep 21, 2024","Beautiful lighting. Bright colorful. Work excellent , very pleased with it. Going to order more.",
Alex Purcelea,"on Oct 17, 2024",great product,
Matteo Daga,"on Jan 27, 2025",,
ts*wn,"on Mar 7, 2025",Everything that was ordered came as it is it's was fast and reasonable thanks themu,
ma***c1,"on Dec 30, 2024","Great, she is satisfied.",
Sa***vá,"on May 6, 2025","Perfect, it lights up well, and it's lightweight.",
geo dez,"on Dec 15, 2024","excellent quality, shines brightly",
an***47,"on Feb 2, 2025","awesome little light, very pleased with it, value for money, my friend bought me a similar one a few yrs back, but it stopped working, so I replaced it with this one, so far so good.",
ri***ok,"on Jan 26, 2025","Great lights I bought two, powerful and light excellent. Also it great to be able to charge up the light as it beats putting in three batteries regular. Also what a great price, the light cost less than three batteries.",
le***ka,"on Feb 4, 2025","Arrived on time, everything works, I'm happy with the purchase.",
75***72,"on May 27, 2025","Really handy torch light, also can be charged, can keep in hand bag for emergency , very pleased with it.",
ge***on,"on Nov 23, 2024","items arrived.
all very good as expected, very pleased with it, very pleased with it, exactly as described, excellent thanks, value for money, great product",
go***64,"on Feb 1, 2025",Very nice flashlight,
di**69,"on Feb 21, 2025",Good for everyday using.Long working battery.,
ma***64,"on May 21, 2025","Great Service, Fast Delivery, Super Bright Touch, Highly Recommended, Would Buy From Again, Thanks.",
albert caron,"on Feb 19, 2025","cool, work, awesome little light, very pleased with it, exactly as described, value for money, super article, extra",
me***86,"on Mar 11, 2025","It's quite nice, the light is sufficient, and all functions are active.",
sy*el,"on Feb 11, 2025",,
Satılmış Çatal,"on Dec 8, 2024",It looks very useful.,
st***ns,"on Nov 16, 2024","This is a very good torch that slips into any pocket, excellent beam & very easy to use…. Good value!",
Roger Hughes,"on Dec 12, 2024","A perfectly usable lightweight torch/flashlight Three settings Somewhat bright / less bright And Strobing, Short and handy USB Cable included, Good value V's cost, Handy coat pocket sized backup, , awesome little light,",
66***36,"on Jun 13, 2025",Excellent,
at***et,"on Sep 17, 2024",Lovely little torch with bright light so perfect for walking to the shed in the dark. Great value.,
mi***84,"on Jan 5, 2025",Excellent battery-powered lamp. It's better than I expected. It has three levels of brightness. I will definitely buy another one.,
Kvngprof elite,"on Apr 11, 2025",The person that delivered asking additional money and that's not the problem 😔 but all the stressed I pass through is still waiting us... Nice product anyway amazing 😻🤩,
iv***ov,"on Sep 24, 2024","Very good product, shines at a long distance with a directed beam.",
pe***18,"on Nov 4, 2024","value for money, great product, handy pointer, ideal, excellent thanks, good quality, awesome little light, awesome little light, very pleased with it",
Vicki Hopes,"on Dec 20, 2024",excellent. easy to use. handy. one of many already purchased gear stocking filler. I prefer to keep mine! one in each room and car,
lorna ebanks,"on Feb 22, 2025","awesome little light, very pleased with it, excellent thanks, quick delivery, perfect 👌, lovely",
cf***18,"on Jan 7, 2025",Very good light. Smaller than I expected but I just needed a small light at my study desk for emergencies and it's exactly what I needed. Good value.,
sh***on,"on Mar 14, 2025","Does exactly what it promised.... a bit smaller that I had thought, but that said its a very useful addition to my house",
Steph Harper,"on Jan 29, 2025","awesome little light, very pleased with it, excellent thanks, value for money, quick delivery",
Neil Jeffrey,"on Dec 7, 2024","Works well. I use it when delivering parcels. Small, light, easy to carry in a pocket, easily bright enough.",
ly***61,"on May 1, 2025",this torch is brilliant. charges USB n beam is fabulous. can be used as wide or narrow beam. highly recommend,
58***98,"on Jul 4, 2025","The package was subjected to a lot of rough handling during transit to me. Also, there is no adapter for recharging it, but it's okay as it works well.",
Saverio Alberghi,"on Nov 20, 2024","Arrived in a short time according to the description, very powerful light. satisfied with the purchase.",
ab***05,"on May 10, 2025",The package arrived on time. The product is interesting.,
Gareth Gi Jones,"on Mar 12, 2025","handy pointer, ideal, awesome little light, very pleased with it, value for money, quick delivery, perfect 👌",
ka***ha,"on Nov 16, 2024","Everything is fine, I liked it",
Gemma Hutchinson,"on Nov 6, 2024","very pleased with it, exactly as described, value for money, great product, works, awesome little light, very pleased with it",
au***il,"on Jan 28, 2025",Nice gift very glad,
ha***29,"on Jan 11, 2025","very lightweight, bright light, battery lasts long enough, just right for light use",
Matúš Bariak,"on Oct 21, 2024","Just like in the photo, it works and shines beautifully strongly",
Erikas Hiksa,"on Feb 20, 2025",Good quality,
Antonio Gómez Palacios,"on Mar 27, 2025","Powerful flashlight, very bright.",
em*ce,"on Jul 31, 2025",omg this torch is brilliant. I didn't expect much for the price but this is so bright. ive ordered another for when we go camping soon,
pa***er,"on Jan 17, 2025","cool, okay, handy pointer, ideal, awesome little lightl, very pleased with it, exactly as described, excellent thanks, excellent thanks",
John john,"on May 23, 2025",exactly as described so bright and good price same torch being sold on popular auction sites for twice as much,
sl***53,"on Apr 28, 2025",Charged up great .My husband was pleased with it .he used it in the loft and said it has a bright light and he likes the charger as it is a usb .. he said it will go on holiday with us for the night time..,
Jo***ls,"on Mar 12, 2025","brought as a back up touch, it was charged for a little while but died again so will be recharging it. the torch is great and is very easily to use and the light is definitely easy to spot in any dark surroundings.",
bu***la,"on Dec 15, 2024","great light, dont look at it as it will blind you for some period of time (learned the hard way). charging port cover could be a bit firmer. overal great bang for buck.",
pe**at,"on Dec 14, 2024","It is a awesome little light, very pleased with it, handy works well. I used it at work and my colleagues loved it when they first saw me use it. They have all decided to get one for the personal use. It absolutely perfect andexactly as described.👍",
83***36,"on Dec 5, 2024",Wow. Perfect gift!,
Ür*an,"on Jan 21, 2026",great,
Goran Špiljak,"on Dec 20, 2024",Top,
bu***as,"on Oct 3, 2024","Excellent flashlight, good lighting coverage, only comes with a cord without charger",
Seçkin Söğüt,"on Feb 5, 2025","Thank you, the product arrived as described and the lighting is excellent. I highly recommend it. 🇹🇷🇹🇷🇹🇷🇹🇷🌲🌲🪻",
77***42,"on Oct 10, 2024","excellent thanks. To be fair I wasn’t expecting it to be as good as it is. It is really bright, and does what it says.",
Janice Nutting,"on Mar 16, 2025","Brilliant item. Great light, really bright and easy to use.",
Steve Rothwell,"on Nov 26, 2024",Fantastic quality love it but delivery left my parcel open against the fence so giving three stars for delivery would have gave torch 5 stars,
Ivan Ivanov,"on Feb 28, 2025","It works, please keep the refunded amount. I don't know how it was left in the package.",
74***57,"on Nov 21, 2024",Great torch. Powerful and bright. Shines a long way when adjusted to narrow beam. 3 settings and charged fairly quickly. 👍,
Lucica Padure,"on Mar 27, 2025",Very good,
Dave Taylor,"on Nov 5, 2024","very pleased with it, exactly as described, value for money, great product, works, handy pointer, ideal, excellent thanks",
vl***77,"on Jun 11, 2025",,
Hamza Majdalae,"on Sep 20, 2025",Very satisfied! I am extremely pleased with the product and the service.,
Dennis Paroutsas,"on Jun 28, 2025","Impressive capability for its size and cost. Every detail can be seen up to 20 meters away in the wide beam, while in the narrow beam it can reach 40 meters or more.",
Cool Cloud,"on May 12, 2025","A nice little handheld lamp, it's brighter than expected. The size is perfect for keeping it handy and not taking up much space. It was charged and ready to use right out of the box.",
Bl***21,"on May 7, 2025","Very bright light. It doesn't have the ability to focus the beam, but the intensity is very good. It's rechargeable, so you don't have to worry about running out of power if you have a charger with you.",
Ni***la,"on May 6, 2025","Everything was delivered on time. The products are affordable and excellent. I will definitely make more purchases. You can buy with confidence, I recommend it.",
So*go,"on Apr 29, 2025","I received the product and I absolutely love it! It's very hard to find a product of this quality at this price. It's definitely a value-for-money product, and I highly recommend it to everyone. Thank you also for the fast shipping and careful packaging. I'm considering making another purchase.
Thank you, Temu",
mi***00,"on Apr 27, 2025",Very bright for such a little torch I’m very impressed with it and it doesn’t take long to fully charge and the battery last longer than I thought it would great item definitely recommend,
Alien Hydron,"on Apr 6, 2025","I haven't had the chance to fully test the product, but it looks good. The user manual that comes with the flashlight states a range of 300 meters. It also operates with a rechargeable 18650 battery, and the charging port is located on the flashlight itself. The head section is adjustable, allowing you to focus and defocus the light. The flashlight has different modes as well.",
Rachel Stewart,"on Mar 25, 2025",great wee torches love these I've actually bought 8 of these 2x in my car 24/7 2x hubby uses for dog walking and 1 in my big first aid bag 1x in my emergency drawer in kitchen 1x on my bedside table n now this one for my father in law,
Genadijus Tarasevicius,"on Mar 22, 2025",,
ya***27,"on Mar 19, 2025","Absolutely love shopping on Temu! They offer a huge selection of products at incredibly low prices. The delivery is fast, and the items always arrive in good condition. Customer service is also very responsive. A fantastic shopping experience every time!",
pr***ca,"on Mar 6, 2025","A small flashlight with no major pretensions, to be kept in the car dashboard or in the purse. It provides a good light, and the zoom function is very useful for improving the depth of the illumination.",
tr***88,"on Mar 3, 2025","I received this product for free. It's a product that comes with the free-to-take option. It would have been a great product if the plastic were a bit better or if it had a metal body. Nevertheless, it's still a very nice product. It's something that can be easily used for daily tasks. Thank you.",
do***ne,"on Feb 28, 2025","This is the second flashlight I've bought, and it's lightweight, small, easy to handle, and very bright. It's also rechargeable via the USB charger of my phone.",
ba***ro,"on Feb 20, 2025","I've only had it for a few days, but I can already give it an excellent review. It provides good illumination and has a long-lasting battery. It recharges like a smartphone, and in fact, along with the flashlight, there's also a USB charging cable, although it's not the latest generation type.
So far, the flashlight has proven to be worth more than the price paid; it hasn't fallen out of my hand yet, so I don't know how durable it is in use.",
Francesco,"on Feb 19, 2025","An excellent product warmly recommended I found myself really very well, I recommend it and I hope in the delivery times that you have as described goodbye.
I'm getting along really well with this online shopping site, they seem to be extremely serious and punctual people, I strongly recommend you to give it a chance, unlike other sites they have a wide range of products, I highly recommend it, I am a person who demands quality and seriousness and for now it has been proven would be to care and inform you if this does not happen, have a good evening. I would like to add that step by step you are followed both in the tracking after payment in all the steps that lead to the delivery of the product through punctual emails and all the steps that there are are tracked through the email to which it is accompanied through the post office I strongly advise you to follow all the instructions that are given to you you have all the time,  In order not to make mistakes at the same time, try to follow the instructions which are very important because they lead you to the acquisition of timing and quality in delivery.",
an***30,"on Feb 12, 2025","what a great torch, the light it gives off is excellent and it is so light it is ideal for elderly people and extra plus you don't need batteries because it's rechargeable so really happy with this little torch 👍😄",
érik cinka,"on Feb 12, 2025",,
mark till,"on Jan 24, 2025",extremely pleased with this item extremely bright and adjustable light sauce great that you can just charge it up no batteries required had it for only £1 with the discount,
Mari Postovit,"on Jan 23, 2025","Excellent quality, convenient size, and has 3 lighting modes: bright, medium, and flickering. It comes with a charger and runs on a battery. I will order more! Thank you for the order.",
Vlad Rotaru,"on Jan 20, 2025",,
68***39,"on Jan 19, 2025","Small, just as I wanted, and for its size, it illuminates much more than a larger one. It's perfect to carry in a purse for emergencies. I love that it has 3 modes: 1 very intense light, 2 slightly less intense light, and 3 flashing light.",
claudio giannesi,"on Jan 10, 2025",Really an unexpected dimension of the light beam. And then the position with intermittency to attract attention or signal danger. Very satisfied.,
dr***oc,"on Dec 23, 2024","I ordered this lamp to equip a survival kit. Rechargeable is a plus. It is lightweight and compact, with two levels of illumination and a stroboscopic effect, making it an instrument that fits the intended use.",
ca***38,"on Dec 22, 2024","Also received, a lamp that recharges via USB, very practical, the only problem is that you can't adjust the beam, but otherwise it lights up very well, it even has a bit of a strobe effect.",
Davor Milosevic,"on Dec 18, 2024",,
60***44,"on Dec 12, 2024","It lasted me 2 weeks but at my job it already lasts quite a while, I put a lot of effort into it. Good light and between 6 and 8 hours of charge, it gradually loses light but doesn't turn off, you notice when it needs a charge and the lighting positions are very good for remote locations.",
Coco Devos,"on Dec 8, 2024",3 different light settings. One very strong and very far away. The 2nd less strong and less far away and the 3rd is flashing. Great. Recharges via USB cable.,
Andy Ferrara,"on Dec 8, 2024","Spectacular!! Very good product.. lots of light power and various modes of use, variations in the amount of light with excellent power",
